precip_hours,tmax,radiation_sum,tmin,evapo_et0,wind_dir_dominant,apparent_tmax,date,prcp,rain_sum,wind_gusts_max,wind_speed_max,apparent_tmin,sunshine_duration,latitude,longitude
9.0000,31.2000,22.0000,24.4000,4.5100,176.0000,39.5000,2020-07-19,3.3000,3.3000,25.2000,10.1000,29.7000,42171.8700,10.5417,107.2428
8.0000,30.7000,20.3800,25.1000,4.1200,114.0000,38.5000,2020-07-20,7.2000,7.2000,24.8000,8.0000,31.0000,42168.7500,10.5417,107.2428
14.0000,29.1000,14.1200,24.8000,2.8800,115.0000,34.8000,2020-07-21,2.4000,2.4000,32.4000,12.9000,30.3000,22199.1900,10.5417,107.2428
6.0000,30.7000,22.1700,24.8000,4.4300,116.0000,39.7000,2020-07-22,4.0000,4.0000,28.8000,10.8000,30.1000,42909.1700,10.5417,107.2428
12.0000,30.6000,20.5000,25.5000,4.2100,171.0000,38.1000,2020-07-23,3.5000,3.5000,25.6000,10.0000,31.3000,40645.0900,10.5417,107.2428
19.0000,28.2000,11.2500,24.9000,2.2900,100.0000,34.9000,2020-07-24,4.7000,4.7000,18.7000,6.7000,30.5000,20803.5000,10.5417,107.2428
10.0000,30.2000,22.7800,24.5000,4.5900,162.0000,37.5000,2020-07-25,3.4000,3.4000,27.0000,11.2000,29.7000,42853.9700,10.5417,107.2428
10.0000,30.2000,21.8300,25.4000,4.4000,166.0000,37.9000,2020-07-26,2.1000,2.1000,25.9000,10.6000,30.9000,42834.4500,10.5417,107.2428
12.0000,31.1000,22.5500,25.2000,4.6500,202.0000,38.6000,2020-07-27,2.4000,2.4000,27.7000,12.2000,30.6000,42814.5400,10.5417,107.2428
21.0000,30.2000,21.1200,25.1000,4.1400,219.0000,37.9000,2020-07-28,14.6000,14.6000,29.5000,14.4000,30.6000,41642.9100,10.5417,107.2428
10.0000,31.3000,20.9000,24.4000,4.1400,277.0000,39.2000,2020-07-29,15.8000,15.8000,32.0000,13.9000,29.6000,38367.1800,10.5417,107.2428
14.0000,30.7000,21.6400,24.6000,4.2400,291.0000,36.8000,2020-07-30,12.4000,12.4000,44.3000,18.6000,29.7000,39572.2100,10.5417,107.2428
17.0000,29.0000,10.4900,25.0000,2.2000,268.0000,33.4000,2020-07-31,19.9000,19.9000,43.9000,17.3000,29.8000,20803.5000,10.5417,107.2428
21.0000,27.5000,10.0350,24.7000,1.9500,247.0000,31.5000,2020-08-01,9.9000,9.9000,54.7000,20.8000,28.6000,20803.5000,10.5417,107.2428
18.0000,29.4000,16.1000,25.4000,3.2300,241.0000,33.6000,2020-08-02,16.9000,16.9000,61.4500,26.6000,29.1000,32204.6900,10.5417,107.2428
19.0000,27.7000,12.2400,25.4000,2.3900,243.0000,33.4000,2020-08-03,24.6000,24.6000,48.6000,17.7000,30.2000,25734.4300,10.5417,107.2428
17.0000,29.8000,17.5600,24.3000,3.4700,268.0000,35.7000,2020-08-04,15.6000,15.6000,49.3000,16.7000,28.7000,31127.6300,10.5417,107.2428
14.0000,30.3000,17.2700,24.0000,3.4600,287.0000,37.5000,2020-08-05,24.6000,24.6000,34.6000,13.0000,28.8000,34172.7800,10.5417,107.2428
23.0000,29.3000,15.7100,24.2000,3.0600,271.0000,35.8000,2020-08-06,24.6000,24.6000,33.5000,14.2000,28.8000,26048.8200,10.5417,107.2428
15.0000,29.9000,18.6400,24.2000,3.7500,267.0000,35.4000,2020-08-07,12.1000,12.1000,35.3000,13.7000,29.3000,32791.5800,10.5417,107.2428
15.0000,28.8000,16.0800,25.1000,3.0300,262.0000,34.4000,2020-08-08,21.7000,21.7000,42.1000,18.3000,30.3000,33477.4400,10.5417,107.2428
6.0000,30.5000,20.2200,24.9000,4.0200,248.0000,36.3000,2020-08-09,9.4000,9.4000,45.4000,16.3000,30.5000,34385.9500,10.5417,107.2428
9.0000,30.4000,18.3700,25.6000,3.6300,248.0000,35.7000,2020-08-10,9.2000,9.2000,55.4000,19.2000,30.9000,40690.5700,10.5417,107.2428
8.0000,30.9000,20.6800,25.3000,4.1400,247.0000,37.3000,2020-08-11,9.8000,9.8000,43.9000,15.0000,30.2000,37205.1800,10.5417,107.2428
24.0000,28.6000,14.2800,24.1000,2.8300,212.0000,35.2000,2020-08-12,24.6000,24.6000,35.6000,12.5000,29.3000,24561.1700,10.5417,107.2428
24.0000,27.6000,10.0350,24.3000,1.6700,194.0000,33.3000,2020-08-13,24.4000,24.4000,23.8000,9.4000,30.0000,20803.5000,10.5417,107.2428
22.0000,29.2000,17.7000,24.1000,3.4800,224.0000,36.0000,2020-08-14,18.8000,18.8000,28.4000,12.1000,29.1000,29630.5700,10.5417,107.2428
6.0000,31.7000,21.5100,23.3000,4.4800,325.0000,38.0000,2020-08-15,2.3000,2.3000,36.4000,12.7000,28.2000,35949.0100,10.5417,107.2428
14.0000,30.9000,19.5400,24.6000,4.0100,261.0000,37.8000,2020-08-16,9.4000,9.4000,25.2000,13.0000,30.1000,37318.9400,10.5417,107.2428
12.0000,30.8000,20.3100,24.2000,4.0200,261.0000,38.6000,2020-08-17,7.1000,7.1000,32.0000,12.2000,29.8000,42045.3200,10.5417,107.2428
17.0000,30.7000,19.1300,24.5000,3.8500,252.0000,37.4000,2020-08-18,24.6000,24.6000,32.0000,11.6000,30.1000,32721.5000,10.5417,107.2428
13.0000,29.6000,14.9600,24.4000,3.1700,273.0000,34.2000,2020-08-19,10.1000,10.1000,39.2000,18.0000,28.9000,28552.8300,10.5417,107.2428
7.0000,30.0000,15.3700,24.4000,3.2500,263.0000,35.1000,2020-08-20,2.2000,2.2000,25.9000,8.8000,30.1000,25628.7000,10.5417,107.2428
6.0000,30.7000,21.1600,25.5000,4.3500,242.0000,36.2000,2020-08-21,2.1000,2.1000,29.9000,12.3000,31.3000,42195.9300,10.5417,107.2428
4.0000,31.2000,23.9000,25.0000,4.9100,235.0000,37.3000,2020-08-22,0.4000,0.4000,31.7000,14.7000,30.8000,42167.3000,10.5417,107.2428
10.0000,30.9000,23.3100,25.3000,4.7400,227.0000,37.4000,2020-08-23,1.8000,1.8000,33.8000,15.1000,31.1000,42138.3000,10.5417,107.2428
9.0000,31.4000,22.2300,24.7000,4.5100,267.0000,38.0000,2020-08-24,4.8000,4.8000,28.4000,10.4000,30.3000,40251.9100,10.5417,107.2428
5.0000,31.4000,24.3900,25.4000,5.0700,235.0000,38.3000,2020-08-25,1.6000,1.6000,29.2000,12.2000,30.7000,42079.2500,10.5417,107.2428
10.0000,31.7000,23.1400,25.8000,4.8700,247.0000,38.1000,2020-08-26,2.6000,2.6000,31.3000,14.6000,31.6000,42049.2500,10.5417,107.2428
5.0000,32.0000,21.4700,26.2000,4.4600,248.0000,38.8000,2020-08-27,4.6000,4.6000,41.0000,15.6000,31.6000,41593.2600,10.5417,107.2428
12.0000,31.3000,21.6300,25.7000,4.5900,241.0000,36.4000,2020-08-28,4.3000,4.3000,34.9000,15.1000,31.1000,41988.3800,10.5417,107.2428
12.0000,31.1000,22.0400,25.6000,4.4000,236.0000,37.9000,2020-08-29,6.7000,6.7000,37.4000,13.8000,31.1000,41957.5600,10.5417,107.2428
11.0000,30.9000,21.9200,25.1000,4.3800,239.0000,37.7000,2020-08-30,4.0000,4.0000,32.8000,12.4000,30.9000,41585.9900,10.5417,107.2428
2.0000,31.9000,23.0300,25.1000,4.7800,256.0000,38.5000,2020-08-31,0.2000,0.2000,30.2000,10.8000,31.1000,41839.6400,10.5417,107.2428
8.0000,31.2000,20.1400,25.2000,4.1700,263.0000,37.2000,2020-09-01,8.9000,8.9000,28.8000,11.0000,31.0000,38552.3500,10.5417,107.2428
12.0000,31.2000,21.8400,24.9000,4.4300,279.0000,38.4000,2020-09-02,12.4000,12.4000,27.7000,11.1000,30.6000,40157.0700,10.5417,107.2428
16.0000,31.7000,22.7100,24.3000,4.6000,272.0000,40.4000,2020-09-03,11.4000,11.4000,27.4000,9.8000,29.8000,40900.7400,10.5417,107.2428
19.0000,30.2000,19.5000,24.5000,3.7900,158.0000,37.5000,2020-09-04,19.7000,19.7000,31.3000,14.1000,29.6000,39484.6500,10.5417,107.2428
13.0000,31.3000,23.1200,25.0000,4.6800,185.0000,39.9000,2020-09-05,3.4000,3.4000,28.1000,11.9000,31.0000,41736.4000,10.5417,107.2428
12.0000,30.9000,21.0700,25.0000,4.2700,245.0000,37.6000,2020-09-06,15.9000,15.9000,29.5000,13.8000,30.7000,35891.7500,10.5417,107.2428
8.0000,31.9000,22.8600,24.5000,4.6100,275.0000,39.8000,2020-09-07,5.5000,5.5000,29.9000,11.6000,30.1000,39984.0600,10.5417,107.2428
6.0000,30.5000,20.0100,24.7000,4.0800,215.0000,37.6000,2020-09-08,3.6000,3.6000,23.4000,8.6000,30.0000,41639.8300,10.5417,107.2428
16.0000,30.4000,19.1400,25.1000,3.8500,166.0000,38.7000,2020-09-09,16.9000,16.9000,26.6000,9.2000,31.2000,37756.1500,10.5417,107.2428
14.0000,30.5000,20.8200,24.4000,4.2000,153.0000,37.8000,2020-09-10,3.2000,3.2000,26.3000,9.8000,30.1000,37605.6700,10.5417,107.2428
14.0000,30.6000,22.0100,24.4000,4.4500,204.0000,38.5000,2020-09-11,6.5000,6.5000,29.2000,13.0000,30.1000,39510.9800,10.5417,107.2428
16.0000,30.9000,20.6900,24.9000,4.2400,207.0000,38.7000,2020-09-12,10.2000,10.2000,24.5000,10.8000,30.6000,39005.4800,10.5417,107.2428
17.0000,29.9000,18.2400,24.2000,3.6500,244.0000,37.3000,2020-09-13,23.7000,23.7000,25.9000,10.2000,29.8000,36879.0200,10.5417,107.2428
17.0000,28.5000,10.4300,23.6000,2.1500,263.0000,33.4000,2020-09-14,12.6000,12.6000,20.9000,9.1000,28.6000,20803.5000,10.5417,107.2428
18.0000,30.0000,20.9000,23.7000,4.1100,251.0000,36.2000,2020-09-15,15.2000,15.2000,28.4000,11.9000,28.8000,40162.3600,10.5417,107.2428
12.0000,30.1000,18.6600,24.7000,3.8200,271.0000,35.2000,2020-09-16,4.0000,4.0000,34.2000,14.9000,29.6000,33130.6000,10.5417,107.2428
20.0000,29.9000,13.0500,25.1000,2.7000,268.0000,36.3000,2020-09-17,10.4000,10.4000,44.6000,18.7000,29.1000,20803.5000,10.5417,107.2428
24.0000,27.5000,10.6400,24.7000,2.0800,245.0000,31.1000,2020-09-18,23.1000,23.1000,55.1000,23.8000,28.1000,20803.5000,10.5417,107.2428
18.0000,27.8000,10.0350,24.5000,1.7900,207.0000,33.4000,2020-09-19,24.6000,24.6000,48.2000,20.1000,27.9000,20803.5000,10.5417,107.2428
7.0000,30.5000,19.5100,23.6000,4.0200,297.0000,36.0000,2020-09-20,2.5000,2.5000,33.8000,12.2000,28.6000,33027.3400,10.5417,107.2428
7.0000,31.2000,21.3500,23.4000,4.3400,49.0000,38.4000,2020-09-21,2.9000,2.9000,21.6000,8.0000,28.2000,40721.1600,10.5417,107.2428
11.0000,30.5000,19.0300,24.9000,3.8300,108.0000,37.4000,2020-09-22,9.5000,9.5000,26.3000,11.7000,30.8000,36368.2700,10.5417,107.2428
9.0000,29.4000,19.6200,24.2000,3.8300,131.0000,35.4000,2020-09-23,8.6000,8.6000,32.8000,14.0000,29.3000,39564.9100,10.5417,107.2428
10.0000,30.9000,20.4100,24.8000,4.1100,258.0000,39.3000,2020-09-24,7.3000,7.3000,30.6000,12.7000,30.1000,36498.7600,10.5417,107.2428
1.0000,30.2000,18.6400,24.8000,3.8800,297.0000,34.8000,2020-09-25,0.1000,0.1000,33.1000,14.5000,30.0000,32171.8800,10.5417,107.2428
6.0000,30.3000,14.7600,24.0000,3.1200,313.0000,35.3000,2020-09-26,1.2000,1.2000,41.0000,14.0000,28.4000,20803.5000,10.5417,107.2428
22.0000,27.9000,12.6300,23.9000,2.3800,113.0000,33.8000,2020-09-27,24.6000,24.6000,34.2000,15.8000,29.4000,24772.9400,10.5417,107.2428
