evapo_et0,wind_gusts_max,tmax,rain_sum,radiation_sum,apparent_tmin,apparent_tmax,wind_dir_dominant,wind_speed_max,tmin,prcp,date,sunshine_duration,precip_hours,latitude,longitude
2.8500,47.5000,30.1000,16.9000,13.4300,28.8000,35.1000,268.0000,16.3000,23.9000,16.9000,2020-08-05,24111.8500,13.0000,9.2941,105.7278
2.1200,39.2000,29.0000,23.1500,10.1200,29.8000,33.7000,240.0000,19.4000,24.5000,23.1500,2020-08-06,12094.1625,21.0000,9.2941,105.7278
3.6400,38.9000,30.7000,8.1000,17.7400,29.0000,36.1000,262.0000,17.8000,24.4000,8.1000,2020-08-07,38038.8200,13.0000,9.2941,105.7278
3.3200,43.6000,29.2000,15.9000,16.8000,29.5000,34.4000,249.0000,20.1000,25.0000,15.9000,2020-08-08,40032.7900,13.0000,9.2941,105.7278
3.5200,44.3000,30.1000,13.2000,17.1100,29.0000,35.5000,215.0000,18.7000,24.1000,13.2000,2020-08-09,29275.9400,8.0000,9.2941,105.7278
3.3500,46.1000,30.2000,9.4000,15.3400,27.5000,35.3000,251.0000,15.4000,23.8000,9.4000,2020-08-10,33273.1000,8.0000,9.2941,105.7278
3.8600,36.0000,31.5000,10.3000,18.1800,29.7000,37.8000,229.0000,13.3000,25.2000,10.3000,2020-08-11,38735.5300,12.0000,9.2941,105.7278
3.3600,33.1000,30.7000,11.6000,16.1900,31.2000,37.0000,217.0000,14.4000,26.1000,11.6000,2020-08-12,28812.4400,12.0000,9.2941,105.7278
2.9300,33.5000,29.6000,17.0000,14.4100,29.2000,35.8000,231.0000,15.5000,24.4000,17.0000,2020-08-13,21600.0000,13.0000,9.2941,105.7278
2.5100,30.2000,29.0000,18.8000,12.1800,28.2000,34.8000,227.0000,11.1000,23.7000,18.8000,2020-08-14,14000.4200,20.0000,9.2941,105.7278
2.2300,18.7000,29.4000,0.9000,9.6400,27.8000,34.8000,282.0000,8.4000,23.5000,0.9000,2020-08-15,12094.1625,3.0000,9.2941,105.7278
3.4700,28.8000,31.7000,13.1000,16.7600,28.5000,39.0000,260.0000,14.2000,23.7000,13.1000,2020-08-16,28251.9000,14.0000,9.2941,105.7278
3.7800,31.3000,30.8000,8.8000,18.3800,29.3000,37.5000,244.0000,12.9000,24.2000,8.8000,2020-08-17,40981.9800,8.0000,9.2941,105.7278
4.0200,35.6000,31.6000,8.1000,19.3900,29.9000,37.4000,233.0000,16.6000,24.8000,8.1000,2020-08-18,37983.9300,8.0000,9.2941,105.7278
2.3900,31.7000,29.9000,6.2000,10.4000,28.2000,33.3000,261.0000,15.5000,23.6000,6.2000,2020-08-19,12094.1625,16.0000,9.2941,105.7278
3.9300,30.2000,31.6000,3.3000,17.9600,30.2000,36.1000,237.0000,11.8000,25.0000,3.3000,2020-08-20,39079.5500,7.0000,9.2941,105.7278
4.1300,33.1000,31.6000,4.5000,19.7200,29.4000,37.5000,235.0000,12.4000,24.3000,4.5000,2020-08-21,42078.2500,9.0000,9.2941,105.7278
4.4100,32.8000,31.2000,2.0000,21.1300,29.8000,37.1000,234.0000,14.9000,24.7000,2.0000,2020-08-22,42053.1800,8.0000,9.2941,105.7278
4.4700,37.8000,31.0000,2.3000,21.5200,30.7000,36.8000,218.0000,17.9000,25.3000,2.3000,2020-08-23,42027.7800,9.0000,9.2941,105.7278
4.3800,28.8000,31.6000,3.3000,21.0600,29.6000,38.0000,236.0000,12.0000,24.4000,3.3000,2020-08-24,42002.0500,6.0000,9.2941,105.7278
4.8200,33.8000,31.8000,1.6000,23.0700,29.9000,38.7000,227.0000,15.6000,24.7000,1.6000,2020-08-25,41976.0400,6.0000,9.2941,105.7278
4.3900,35.3000,32.7000,1.3000,20.0100,30.4000,40.2000,240.0000,15.7000,25.0000,1.3000,2020-08-26,41949.7400,5.0000,9.2941,105.7278
4.5300,41.4000,32.4000,1.7000,20.2600,30.3000,37.5000,244.0000,17.8000,25.4000,1.7000,2020-08-27,41923.1700,4.0000,9.2941,105.7278
4.3900,36.4000,32.5000,2.8000,19.9600,30.7000,36.9000,236.0000,18.4000,25.4000,2.8000,2020-08-28,37712.0600,7.0000,9.2941,105.7278
4.4300,34.9000,32.1000,7.1000,20.9500,30.3000,37.6000,233.0000,15.8000,25.2000,7.1000,2020-08-29,41338.3900,10.0000,9.2941,105.7278
